,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도,브랜드명
23368,배스킨라빈스성동,음식,기타 간이,아이스크림/빙수,서울특별시,성동구,금호4가동,금호동4가,서울특별시 성동구 독서당로 314,127.023907898096,37.5479999366784,
24568,비알배스킨라빈스강남신논현,음식,기타 간이,아이스크림/빙수,서울특별시,서초구,서초4동,서초동,서울특별시 서초구 강남대로69길 8,127.024633598592,37.5018360824047,
25395,배스킨라빈스북한산,음식,기타 간이,아이스크림/빙수,서울특별시,서대문구,홍은1동,홍은동,서울특별시 서대문구 홍은중앙로3길 9,126.944718600991,37.5989482291061,
25825,배스킨라빈스31대방역점,음식,기타 간이,아이스크림/빙수,서울특별시,동작구,대방동,대방동,서울특별시 동작구 알마타길 6,126.924959178503,37.5098012748359,
27448,베스킨라빈스,음식,기타 간이,아이스크림/빙수,서울특별시,구로구,구로4동,구로동,서울특별시 구로구 도림로 75,126.891692537874,37.489986190601,
28865,베스킨라빈스불광현대점,음식,기타 간이,아이스크림/빙수,서울특별시,은평구,불광1동,불광동,서울특별시 은평구 불광로 40,126.930332538782,37.6110907763858,
29460,베스킨라빈스,음식,기타 간이,아이스크림/빙수,서울특별시,성동구,성수1가2동,성수동1가,서울특별시 성동구 왕십리로 114,127.044723701574,37.5476746007002,
30761,배스킨라빈스,음식,기타 간이,아이스크림/빙수,서울특별시,관악구,조원동,신림동,서울특별시 관악구 난곡로 351,126.913640407788,37.4853604386341,
30870,배스킨라빈스신풍역,음식,기타 간이,아이스크림/빙수,서울특별시,영등포구,신길5동,신길동,서울특별시 영등포구 신길로 71,126.908182731203,37.4990871388397,
32712,배스킨라빈스/던킨흑석DT점,음식,기타 간이,아이스크림/빙수,서울특별시,동작구,흑석동,흑석동,서울특별시 동작구 현충로 101,126.965227283769,37.508088500892,
32722,배스킨라빈스,음식,기타 간이,아이스크림/빙수,서울특별시,도봉구,창1동,창동,서울특별시 도봉구 도봉로 468,127.034348607085,37.6473804750805,
34840,비알배스킨라빈스중앙대,음식,기타 간이,아이스크림/빙수,서울특별시,동작구,흑석동,흑석동,서울특별시 동작구 흑석로 87,126.959354923212,37.5074241971416,
36120,비알배스킨라빈스대학로,음식,기타 간이,아이스크림/빙수,서울특별시,종로구,혜화동,혜화동,서울특별시 종로구 대학로 142,127.001963282771,37.5837320744162,
37619,배스킨라빈스금천,음식,기타 간이,아이스크림/빙수,서울특별시,금천구,독산2동,독산동,서울특별시 금천구 독산로 205,126.902165605291,37.4651249262558,
37711,배스킨라빈스,음식,기타 간이,아이스크림/빙수,서울특별시,송파구,오금동,오금동,서울특별시 송파구 동남로 312,127.138520636192,37.503136023933,
39242,배스킨라빈스상계백,음식,기타 간이,아이스크림/빙수,서울특별시,노원구,상계6.7동,상계동,서울특별시 노원구 동일로 1343,127.061984554132,37.6484864681663,
40786,배스킨라빈스가양,음식,기타 간이,아이스크림/빙수,서울특별시,강서구,가양2동,가양동,서울특별시 강서구 양천로 431,126.84994610305,37.5642561332798,
40892,비알배스킨라빈스한남,음식,기타 간이,아이스크림/빙수,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로 66-1,127.005409092781,37.5332035469131,
44261,베스킨라빈스우,음식,기타 간이,아이스크림/빙수,서울특별시,강서구,발산1동,내발산동,서울특별시 강서구 강서로 259,126.83598007726,37.5488647844455,
48417,배스킨라빈스양천향교역점,음식,기타 간이,아이스크림/빙수,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 강서로 471,126.84055856385,37.5674350512757,
